Юр. лицо,ФИО,Адресс,Регион,ОГРН ,ИНН,Основной вид деятельности
"ЗАО ""ТОПЛИВНЫЕ ГРАНУЛЫ""",КОРОБЕЙНИКОВ ВЛАДИСЛАВ ВАЛЕРЬЕВИЧ,"618545, Край Пермский, г. Соликамск, Улица Всеобуча, 99",Пермский край,1075919000519,5919006336,16.21
"ППО РАБОТНИКОВ ОАО ""ПУШКИНСКОЕ ТОПЛИВНОЕ ПРЕДПРИЯТИЕ""",КОШКИНА ЛЮДМИЛА ГРИГОРЬЕВНА,"141206, Область Московская, Район Пушкинский, г. Пушкино, Улица Краснофлотская, 9",Московская область,1035000026016,5038008456,0
"ЗАО ""АЛГОРИТМ. ТОПЛИВНЫЙ ИНТЕГРАТОР.""",КОСТЮКОВ ВИКТОР ЛУКМАНОВИЧ,"119526, г. Москва, Проспект Вернадского, 89, 1",Москва,1057747626254,7729529797,46.71
"ЗАО ""ТОПЛИВНО-ЗАПРАВОЧНАЯ КОМПАНИЯ""",ГАГИН СЕРГЕЙ ВЛАДИМИРОВИЧ,"649000, Республика Алтай, г. Горно-Алтайск, Улица Чорос-Гуркина г..И., 29",Республика Алтай,1030400733340,0411078885,46.11
"ЗАО ""РУССКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ПОДКОЛЗИНА ИННА АНАТОЛЬЕВНА,"111020, г. Москва, Улица Дворникова, 7",Москва,1057747279105,7722549160,71.12
"ЗАО ""АВИАЦИОННО-ТОПЛИВНАЯ КОМПАНИЯ""",ДРУЖИНИН НИКИТА АЛЕКСАНДРОВИЧ,"119027, г. Москва, Территория Внуково Аэропорт, 1, Стр.19",Москва,1117746670513,7729689568,68.20
"ЗАО ""ПРИМОРСКИЙ ТОПЛИВНЫЙ ТЕРМИНАЛ""",ПОМАЗ ВЛАДИМИР ВАСИЛЬЕВИЧ,"692921, Край Приморский, г. Находка, Улица Пирогова, 13, 1, 619",Приморский край,1022500703785,2508056984,68.20
"ЗАО ""НАЦИОНАЛЬНАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ЛЯХ СТАНИСЛАВ ДОМИНИКОВИЧ,"188643, Область Ленинградская, Район Всеволожский, г. Всеволожск, Улица Сергиевская, 126, Лит. А",Ленинградская область,1054700105338,4703081258,41.20
"ЗАО ""ВОСТОЧНОЕВРОПЕЙСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",КОРЧАГИНА СВЕТЛАНА ИВАНОВНА,"350020, Край Краснодарский, г. Краснодар, Улица Рашпилевская, 142, А",Краснодарский край,1042303656350,2308100467,46.71
"ЗАО ""ТОПЛИВНАЯ НЕФТЯНАЯ КОМПАНИЯ""",САЛМИН ИЛЬЯ ОЛЕГОВИЧ,"308000, Область Белгородская, г. Белгород, Улица Студенческая, 46, 0, 0",Белгородская область,1043108001969,3123104252,47.30
"ЗАО ""НЕКОУЗСКОЕ ТОПЛИВНОЕ ПРЕДПРИЯТИЕ""",ЛОБАНОВ ВЛАДИМИР АНАТОЛЬЕВИЧ,"152750, Область Ярославская, Район Некоузский, Поселок Волга, Улица Набережная, 1б",Ярославская область,1047602007837,7620004791,46.71
"ППО РАЗРЕЗ ""ВИНОГРАДОВСКИЙ"" ФИЛИАЛ ОАО ""КУЗБАССКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",БАУН ЗИНАИДА НИКОЛАЕВНА,"652673, Область Кемеровская, Район Беловский, Село Каракан",Кемеровская область,1114200001794,4202999054,94.2
"ООО ""ТОПЛИВО""",БАТАЕВ ВАХА ТУРКОЕВИЧ,"400062, Область Волгоградская, г. Волгоград, Улица Им Богданова, Дом 1/5, Помещение 2.9",Волгоградская область,1143443032105,3460018980,46.71
"ООО ""ТОПЛИВО""",ПЕТРОВ ДМИТРИЙ АЛЕКСАНДРОВИЧ,"173003, Область Новгородская, г. Великий Новгород, Улица Саши Устинова, 7",Новгородская область,1145321004333,5321170109,46.71
"ООО ""ТОПЛИВО""",КИСЕЛЕВ МАКСИМ АЛЕКСАНДРОВИЧ,"127642, г. Москва, Проезд Дежнёва, 19, 1, 18",Москва,1066311054567,6311093009,46.12
"ООО ""ТОПЛИВО""",ГАВРИКОВ ВЯЧЕСЛАВ АНАТОЛЬЕВИЧ,"603061, Область Нижегородская, г. Нижний Новгород, Улица Робеспьера, Дом 4, Квартира 17",Нижегородская область,1175275020689,5258136012,47.30
"ООО ""ТОПЛИВО""",АФАНАСЬЕВ ИГОРЬ АЛЕКСЕЕВИЧ,"603101, Область Нижегородская, г. Нижний Новгород, Проспект Ильича, Дом 33, Квартира 79",Нижегородская область,1155256001394,5256136070,46.12
"ООО ""ТОПЛИВО""",БАРАКИН ВИТАЛИЙ НИКОЛАЕВИЧ,"680000, Край Хабаровский, г. Хабаровск, Улица Дзержинского, Дом 39",Хабаровский край,1162724086260,2721227763,46.71
